Time,Weight
0,0
2,4.38
4,9.64
6,14.48
8,19.56
10,24.66
12,30.02
14,34.91
16,40.01
18,44.91
20,50.04
22,54.93
24,60.06
26,65.18
28,70.3
30,75.42
32,80.53
34,85.63
36,90.52
38,95.42
40,100.27
42,105.37
44,110.22
46,115.31
48,120.39
50,125.47
52,130.55
54,135.63
56,140.71
58,145.53
60,150.6
62,155.42
64,160.48
66,165.3
68,170.36
70,175.42
72,180.48
74,185.53
76,190.59
78,195.63
80,200.43
82,205.38
84,210.18
86,215.21
88,220.01
90,225.04
92,230.06
94,235.09
96,240.11
98,245.13
100,250.14
102,254.92
104,259.77
106,264.54
108,269.55
110,274.32
112,279.31
114,284.31
116,289.3
118,294.29
120,299.28
122,304.25
124,309
126,314.05
128,318.79
130,323.78
132,328.53
134,333.51
136,338.49
138,343.46
140,348.43
142,353.4
144,358.6
146,363.56
148,368.29
150,373.09
152,377.82
154,382.77
156,387.49
158,392.45
160,397.4
162,402.35
164,407.29
166,412.24
168,417.18
170,421.88
172,426.63
174,431.32
176,436.25
178,440.95
180,445.88
182,450.81
184,455.73
186,460.65
188,465.57
190,470.49
192,475.17
194,479.97
196,484.65
198,489.57
200,494.25
202,499.16
204,504.06
206,508.96
208,513.85
210,518.74
212,523.63
214,528.29
216,533.04
218,537.69
220,542.57
222,547.21
224,552.08
226,556.95
228,561.81
230,566.67
232,571.52
234,576.36
236,580.98
238,585.73
240,590.34
242,595.18
244,599.79
246,604.62
248,609.46
250,614.29
252,619.12
254,623.94
256,628.76
258,633.35
260,637.97
262,642.57
264,647.39
266,652.44
268,657.03
270,661.84
272,666.64
274,671.44
276,676.25
278,681.04
280,685.83
282,690.4
284,695.09
286,699.65
288,704.45
290,709
292,713.79
294,718.57
296,723.34
298,728.12
300,732.89
302,737.65
304,742.18
306,746.83
308,751.36
310,756.12
312,760.65
314,765.39
316,770.13
318,774.88
320,779.62
322,784.35
324,789.08
326,793.57
328,798.05
330,802.54
332,807.26
334,811.75
336,816.45
338,821.15
340,825.84
342,830.52
344,835.19
346,839.87
348,844.32
350,848.94
352,853.38
354,858.04
356,862.46
358,867.1
360,871.73
362,876.36
364,880.97
366,885.57
368,890.17
370,894.56
372,898.94
374,903.31
376,907.88
378,912.22
380,916.78
382,921.33
384,925.87
386,930.4
388,934.9
390,939.38
392,943.64
394,948.09
396,952.34
398,957
400,961.45
402,965.66
404,970.08
406,974.5
408,978.86
410,983.22
412,987.59
414,991.94
416,996.05
418,1000.12
420,1004.16
422,1008.37
424,1012.34
426,1016.43
428,1020.44
430,1024.37
432,1028.2
434,1031.92
436,1035.53
438,1038.84
440,1042.29
442,1045.46
444,1048.7
446,1051.68
448,1054.33
450,1056.82
452,1059.12
454,1061.32
456,1062.66
458,1062.66
460,1062.67
